source	 target	 type
Finansudvalget	Mike Legarth	suit
Finansudvalget	Jesper Petersen	suit
Finansudvalget	René Christensen	suit
Finansudvalget	Ole Birk Olesen	suit
Finansudvalget	Frank Aaen	suit
Finansudvalget	Rasmus Prehn	suit
Finansudvalget	Thomas Jensen	suit
Finansudvalget	Jacob Jensen	suit
Finansudvalget	Claus Hjort Frederiksen	suit
Finansudvalget	Kristian Thulesen Dahl	suit
Finansudvalget	Simon Kollerup	suit
Finansudvalget	Camilla Hersom	suit
Finansudvalget	Jonas Dahl	suit
Finansudvalget	Peter Christensen	suit
Finansudvalget	Finn Sørensen	suit
Finansudvalget	Kristian Jensen	suit
Finansudvalget	Ane Halsboe-Jørgensen	suit
Forsvarsudvalget	John Dyrby Paulsen	suit
Forsvarsudvalget	Ole Hækkerup	suit
Forsvarsudvalget	Karsten Lauritzen	suit
Forsvarsudvalget	Lone Loklindt	suit
Forsvarsudvalget	Nadeem Farooq	suit
Forsvarsudvalget	Holger K. Nielsen	suit
Forsvarsudvalget	Søren Espersen	suit
Forsvarsudvalget	Doris Jakobsen	suit
Forsvarsudvalget	Christian Juhl	suit
Forsvarsudvalget	Jacob Lund	suit
Forsvarsudvalget	Hans Christian Thoning	suit
Forsvarsudvalget	Peter Juel Jensen	suit
Forsvarsudvalget	Annette Lind	suit
Forsvarsudvalget	Jakob Engel-Schmidt	suit
Forsvarsudvalget	Zenia Stampe	suit
Forsvarsudvalget	Karsten Nonbo	suit
Forsvarsudvalget	Kristian Pihl Lorentzen	suit
Forsvarsudvalget	Nikolaj Villumsen	suit
Forsvarsudvalget	Martin Henriksen	suit
Forsvarsudvalget	Marie Krarup	suit
Forsvarsudvalget	Jakob Ellemann-Jensen	suit
Forsvarsudvalget	Hans Kristian Skibby	suit
Forsvarsudvalget	Troels Lund Poulsen	suit
Forsvarsudvalget	Jørgen Arbo-Bæhr	suit
Forsvarsudvalget	Trine Mach	suit
Forsvarsudvalget	Leif Mikkelsen	suit
Forsvarsudvalget	Trine Bramsen	suit
Grønlandsudvalget	Eva Kjer Hansen	suit
Grønlandsudvalget	Helle Løvgreen Mølvig	suit
Grønlandsudvalget	Claus Hjort Frederiksen	suit
Grønlandsudvalget	Per Stig Møller	suit
Grønlandsudvalget	Villum Christensen	suit
Grønlandsudvalget	Torben Hansen	suit
Grønlandsudvalget	Søren Espersen	suit
Grønlandsudvalget	Ellen Trane Nørby	suit
Grønlandsudvalget	Doris Jakobsen	suit
Grønlandsudvalget	Christian Juhl	suit
Grønlandsudvalget	Nadeem Farooq	suit
Grønlandsudvalget	Annette Vilhelmsen	suit
Grønlandsudvalget	Flemming Damgaard Larsen	suit
Grønlandsudvalget	Karsten Nonbo	suit
Grønlandsudvalget	Martin Henriksen	suit
Grønlandsudvalget	Thomas Jensen	suit
Grønlandsudvalget	Kristian Thulesen Dahl	suit
Grønlandsudvalget	Marie Krarup	suit
Grønlandsudvalget	Jakob Ellemann-Jensen	suit
Grønlandsudvalget	Birgitte Josefsen	suit
Grønlandsudvalget	Özlem Sara Cekic	suit
Grønlandsudvalget	Finn Sørensen	suit
Grønlandsudvalget	Flemming Møller Mortensen	suit
Grønlandsudvalget	Uffe Elbæk	suit
Grønlandsudvalget	Astrid Krag	suit
Grønlandsudvalget	Orla Hav	suit
Grønlandsudvalget	Kim Andersen	suit
Børne- og Undervisningsudvalget	Lene Espersen	suit
Børne- og Undervisningsudvalget	Rasmus Horn Langhoff	suit
Børne- og Undervisningsudvalget	Alex Ahrendtsen	suit
Børne- og Undervisningsudvalget	Tina Nedergaard	suit
Børne- og Undervisningsudvalget	Finn Thranum	suit
Børne- og Undervisningsudvalget	Ane Halsboe-Jørgensen	suit
Børne- og Undervisningsudvalget	Lars Dohn	suit
Børne- og Undervisningsudvalget	Anni Matthiesen	suit
Børne- og Undervisningsudvalget	Henning Hyllested	suit
Børne- og Undervisningsudvalget	Jens Ejner Christensen	suit
Børne- og Undervisningsudvalget	Peter Juel Jensen	suit
Børne- og Undervisningsudvalget	Annette Lind	suit
Børne- og Undervisningsudvalget	Bent Bøgsted	suit
Børne- og Undervisningsudvalget	Julie Skovsby	suit
Børne- og Undervisningsudvalget	Thyra Frank	suit
Børne- og Undervisningsudvalget	Martin Henriksen	suit
Børne- og Undervisningsudvalget	Karen Ellemann	suit
Børne- og Undervisningsudvalget	Merete Riisager	suit
Børne- og Undervisningsudvalget	Jeppe Mikkelsen	suit
Børne- og Undervisningsudvalget	Marie Krarup	suit
Børne- og Undervisningsudvalget	Troels Ravn	suit
Børne- og Undervisningsudvalget	Marlene Borst Hansen	suit
Børne- og Undervisningsudvalget	Louise Schack Elholm	suit
Børne- og Undervisningsudvalget	Trine Mach	suit
Børne- og Undervisningsudvalget	Rosa Lund	suit
Børne- og Undervisningsudvalget	Lotte Rod	suit
Børne- og Undervisningsudvalget	Annette Vilhelmsen	suit
Børne- og Undervisningsudvalget	Orla Hav	suit
Europaudvalget	Sophie Løhde	suit
Europaudvalget	Esben Lunde Larsen	suit
Europaudvalget	Mette Bock	suit
Europaudvalget	Eva Kjer Hansen	suit
Europaudvalget	Claus Hjort Frederiksen	suit
Europaudvalget	Lars Barfoed	suit
Europaudvalget	Ida Auken	suit
Europaudvalget	Per Stig Møller	suit
Europaudvalget	Holger K. Nielsen	suit
Europaudvalget	Per Clausen	suit
Europaudvalget	Jacob Lund	suit
Europaudvalget	Erling Bonnesen	suit
Europaudvalget	Nadeem Farooq	suit
Europaudvalget	Zenia Stampe	suit
Europaudvalget	Nikolaj Villumsen	suit
Europaudvalget	Thomas Jensen	suit
Europaudvalget	Christian Langballe	suit
Europaudvalget	Jakob Ellemann-Jensen	suit
Europaudvalget	Jens Joel	suit
Europaudvalget	Jeppe Bruus	suit
Europaudvalget	Finn Sørensen	suit
Europaudvalget	Mikkel Dencker	suit
Europaudvalget	Lisbeth Bech Poulsen	suit
Europaudvalget	Morten Bødskov	suit
Europaudvalget	Pia Adelsteen	suit
Europaudvalget	Henrik Høegh	suit
Europaudvalget	René Christensen	suit
Europaudvalget	Trine Bramsen	suit
Udenrigsudvalget	Søren Pind	suit
Udenrigsudvalget	John Dyrby Paulsen	suit
Udenrigsudvalget	Mette Bock	suit
Udenrigsudvalget	Frank Aaen	suit
Udenrigsudvalget	Karsten Lauritzen	suit
Udenrigsudvalget	Per Stig Møller	suit
Udenrigsudvalget	Lone Loklindt	suit
Udenrigsudvalget	Ane Halsboe-Jørgensen	suit
Udenrigsudvalget	Esben Lunde Larsen	suit
Udenrigsudvalget	Liv Holm Andersen	suit
Udenrigsudvalget	Søren Espersen	suit
Udenrigsudvalget	Ellen Trane Nørby	suit
Udenrigsudvalget	Christian Juhl	suit
Udenrigsudvalget	Jacob Lund	suit
Udenrigsudvalget	Jens Ejner Christensen	suit
Udenrigsudvalget	Peter Juel Jensen	suit
Udenrigsudvalget	Zenia Stampe	suit
Udenrigsudvalget	Nikolaj Villumsen	suit
Udenrigsudvalget	Mette Gjerskov	suit
Udenrigsudvalget	Holger K. Nielsen	suit
Udenrigsudvalget	Jakob Ellemann-Jensen	suit
Udenrigsudvalget	Mads Rørvig	suit
Udenrigsudvalget	Hans Kristian Skibby	suit
Udenrigsudvalget	Peter Skaarup	suit
Udenrigsudvalget	Jeppe Bruus	suit
Udenrigsudvalget	Morten Bødskov	suit
Udenrigsudvalget	Pia Adelsteen	suit
Udenrigsudvalget	Henrik Dam Kristensen	suit
Udenrigsudvalget	Trine Mach	suit
Skatteudvalget	Frank Aaen	suit
Skatteudvalget	Thomas Danielsen	suit
Skatteudvalget	Ane Halsboe-Jørgensen	suit
Skatteudvalget	John Dyrby Paulsen	suit
Skatteudvalget	Karina Adsbøl	suit
Skatteudvalget	Hans Andersen	suit
Skatteudvalget	Astrid Krag	suit
Skatteudvalget	Pernille Rosenkrantz-Theil	suit
Skatteudvalget	Jacob Jensen	suit
Skatteudvalget	Nadeem Farooq	suit
Skatteudvalget	Kristian Pihl Lorentzen	suit
Skatteudvalget	Nikolaj Villumsen	suit
Skatteudvalget	Thomas Jensen	suit
Skatteudvalget	Troels Lund Poulsen	suit
Skatteudvalget	Torsten Schack Pedersen	suit
Skatteudvalget	Mads Rørvig	suit
Skatteudvalget	Hans Kristian Skibby	suit
Skatteudvalget	Brian Mikkelsen	suit
Skatteudvalget	Mikkel Dencker	suit
Skatteudvalget	Lisbeth Bech Poulsen	suit
Skatteudvalget	Jesper Petersen	suit
Skatteudvalget	Ole Birk Olesen	suit
Skatteudvalget	Jan E. Jørgensen	suit
Skatteudvalget	Simon Kollerup	suit
Skatteudvalget	Trine Mach	suit
Skatteudvalget	Lotte Rod	suit
Skatteudvalget	Dennis Flydtkjær	suit
Skatteudvalget	Stine Brix	suit
Retsudvalget	Marlene Borst Hansen	suit
Retsudvalget	Rasmus Prehn	suit
Retsudvalget	Johanne Schmidt-Nielsen	suit
Retsudvalget	Karsten Lauritzen	suit
Retsudvalget	Doris Jakobsen	suit
Retsudvalget	Henning Hyllested	suit
Retsudvalget	Peter Skaarup	suit
Retsudvalget	Inger Støjberg	suit
Retsudvalget	Julie Skovsby	suit
Retsudvalget	Zenia Stampe	suit
Retsudvalget	Karsten Nonbo	suit
Retsudvalget	Kristian Pihl Lorentzen	suit
Retsudvalget	Pernille Vigsø Bagge	suit
Retsudvalget	Pernille Skipper	suit
Retsudvalget	Tom Behnke	suit
Retsudvalget	Mette Reissmann	suit
Retsudvalget	Jeppe Mikkelsen	suit
